asset_id,source_path,type,category,import_status,used_in_scene,replacement_strategy,note
armoredShip,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Arrow,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
arrowCircle,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
artisan,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
axe,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
axe2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Back Pillars,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Background,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bag,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Ball Light 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
ball light 3,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard 2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard 3,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard 4,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard 5,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard 6,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard 7,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard 8,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beard2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beardWithHair 2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beardWithHair 3,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beardWithHair,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
beastOfBurden,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BG 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BG 2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BG 3,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BG Clouds,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bg for UI,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BG,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BGboat,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
bgBOATS,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BGforPinFrame4,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BG_Beach,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BigCity,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bird 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
blacksmith,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Blade,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
blood1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
blood2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Blue Sky,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
boat 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
boat 2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
boat 3,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Boat 4,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
boat shadow,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
boatShadow,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bonfire 1 Character,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
bonfire,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bonfirelogo,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BonfireOnlyIcon2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Border,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
boss 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
boss 2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BOSS,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
bottom 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
BOW,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
bowAndArrow,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
bowman,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
brave,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
brewery,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
brick,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
bridge,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
brute,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
build,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
build3,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
buildFrame,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
buildFrameWithBG,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bushes 3.1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bushes 4.1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bushes 4,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bushes 6,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bushes 7,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Bushes 8,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
bushes,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Button 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
button trial 2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Button try 1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
button,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
calf1,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
calf2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Cape,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
cape2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
cape3,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
capeHead,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
capeHead2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
capeHead3,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
carpenter,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
cart,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
cart2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
cauldron,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
character,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
character2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
characterItem,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
chat,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
chat2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
Checkmark,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
chest,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
CircleShadow,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
City_Bonfire_2,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
clay,D:\Tinh\The Bonfire 2 Uncharted Shores_191.5.6_APKPure.xapk_Decompiler.com\resources\com.xigmaGames.thebonfire2.apk\assets\bin\Data\data.unity3d,Sprite,Decoded,EXTRACTED,TownScene,UseReal,
